"VOG.number"	"Host.Domain"	"Number.of.Proteins"	"Number.of.Genomes"	"Number.of.Known.Virus.Families"	"Number.of.Known.Virus.Genera"	"Proteins.Annotations"	"Mapping.to.POGs.2013"	"Short.Annotations"
"26"	"VOG0034"	"Bacteria"	175	174	1	3	"tail tubular protein B [n=69]; putative tail tubular protein B [n=32]; tail fiber protein [n=8]; hypothetical protein [n=8]; gp12 [n=7]; tail protein [n=7]; tail tuber protein B [n=4]; tail tube protein B [n=4]; tail fibers protein [n=4]; tail tube [n=3]; putative tail tubular B protein [n=2]; predicted tail tube protein B [n=2]; tubular tail protein B [n=2]; No annotation provided [n=2]; putative tail tubular protein B protein [n=2]; Phage tail fiber protein / T7-like tail tubular protein B [n=2]; tail tube B [n=2]; tail hub B [n=1]; tail tubular B protein [n=1]; phage tail protein [n=1]; predicted tail tubular protein B [n=1]; Tail tubular protein B [n=1]; tail protein B [n=1]; tail tubular protein B-like protein [n=1]; T7-like tail tubular protein B [n=1]; tail tubular protein [n=1]; phage tail fiber protein [n=1]; predicted phage tail tubular protein B [n=1]; virion structural protein [n=1]; putative tail tuber protein B [n=1]; Tubular tail protein B [n=1]; 33 [n=1]; "	"Mapped to: POG0034"	"tail protein"
"27"	"VOG0035"	"Bacteria"	91	91	1	2	"internal virion protein A [n=34]; hypothetical protein [n=26]; putative internal virion protein A [n=5]; gp13 [n=4]; protein inside capsid A [n=3]; predicted internal virion protein A [n=3]; internal virion protein [n=3]; gp42 [n=3]; internal (core) protein [n=2]; internal core protein [n=2]; putative internal virion protein [n=1]; polyketide synthase [n=1]; Phage internal (core) protein [n=1]; Phage protein inside capsid A [n=1]; Internal virion protein A [n=1]; Hypothetical protein [n=1]; "	"Mapped to: POG0035"	NA
"28"	"VOG0037"	"Bacteria"	62	62	1	1	"internal virion protein C [n=36]; gp15 [n=4]; predicted internal virion protein C [n=3]; putative internal virion protein C [n=3]; internal (core) protein [n=3]; internal core protein [n=2]; DNA injection channel protein B [n=2]; protein inside capsid C [n=2]; hypothetical protein [n=1]; internal virion protein [n=1]; DNA translocation protein [n=1]; virion structural protein [n=1]; phage internal (core) protein [n=1]; Phage internal (core) protein [n=1]; Phage protein inside capsid C [n=1]; "	"Mapped to: POG0037"	NA
"29"	"VOG0038"	"Bacteria"	148	148	1	4	"internal virion protein D [n=37]; internal virion protein [n=17]; putative internal core protein [n=15]; putative internal virion protein [n=14]; hypothetical protein [n=13]; internal core protein [n=6]; internal (core) protein [n=5]; virion protein [n=5]; gp16 [n=4]; predicted internal virion protein D [n=3]; putative transglycosylase [n=3]; putative internal virion core protein [n=3]; putative internal virion-like protein [n=3]; internal virion-like protein [n=2]; putative internal virion protein D [n=2]; DNA injection channel protein C [n=2]; lytic transglycosylase, catalytic [n=1]; internal head protein [n=1]; 36 [n=1]; Phage internal (core) protein [n=1]; putative internal (core) protein [n=1]; DNA translocation protein [n=1]; methyl-accepting chemotaxis protein I [n=1]; lytic glycosylase [n=1]; predicted phage virion protein [n=1]; protein inside capsid D [n=1]; putative internal virion protein 1 [n=1]; putative internal virion protein C [n=1]; virion structural protein [n=1]; Phage protein inside capsid D [n=1]; "	"Mapped to: POG0038"	"head protein"
"30"	"VOG0040"	"Bacteria"	87	87	2	3	"type II holin [n=16]; putative holin [n=9]; hypothetical protein [n=9]; holin [n=8]; lysis protein [n=7]; putative lysis protein [n=6]; No annotation provided [n=6]; class II holin [n=5]; gp17.5 [n=4]; holin class II [n=3]; Phage holin, class II [n=2]; predicted lysis protein; holin [n=2]; holin-like protein [n=1]; 38 [n=1]; lysin protein [n=1]; pinholin [n=1]; putative class II holin [n=1]; putative type II holin [n=1]; predicted lysis protein [n=1]; phage holin class II [n=1]; putative Class II holin [n=1]; Phage holin, class II #T7-like gp17.5 # Type II holin with two transmembrane domains [n=1]; "	"Mapped to: POG0040"	NA
"31"	"VOG0041"	"Bacteria"	167	166	2	4	"hypothetical protein [n=54]; putative DNA maturase A [n=19]; DNA packaging protein A [n=13]; DNA packaging protein, small subunit [n=12]; terminase small subunit [n=8]; DNA packaging protein small subunit [n=5]; putative terminase protein small subunit [n=4]; gp18 [n=4]; DNA packaging/maturation protein A [n=4]; DNA maturase A [n=4]; small terminase subunit [n=3]; No annotation provided [n=3]; putative terminase small subunit [n=2]; putative packaging maturation protein A [n=2]; DNA maturation protein [n=2]; small terminase subunit-like protein [n=2]; putative small terminase subunit [n=2]; DNA packaging protein A, T7-like gp18 [n=2]; putative DNA maturase [n=2]; putative terminase, small subunit [n=2]; 39 [n=1]; phage protein [n=1]; predicted DNA packaging protein [n=1]; DNA packaging protein [n=1]; putative small terminase subunit-like protein [n=1]; conserved hypothetical phage protein [n=1]; putative DNA packaging/maturation protein A [n=1]; predicted DNA packaging protein A [n=1]; maturase A [n=1]; small terminase-like protein [n=1]; small terminase [n=1]; TerS [n=1]; predicted phage DNA maturase A [n=1]; TerS small terminase subunit-like protein [n=1]; predicted DNA packaging protein A or DNA maturase A [n=1]; small terminase subunit protein [n=1]; terminase small subunit A [n=1]; "	"Union of: POG0041; POG1069"	"terminase"
"32"	"VOG0043"	"Bacteria"	82	81	1	2	"hypothetical protein [n=75]; gp165 [n=1]; No annotation provided [n=1]; ORF048 [n=1]; gp134 [n=1]; gp168 [n=1]; gp36.2 [n=1]; gp96 [n=1]; "	"Mapped to: POG0043"	NA
"33"	"VOG0044"	"Bacteria"	199	167	3	10	"hypothetical protein [n=98]; YopX protein [n=13]; YopX-like protein [n=12]; YopX domain protein [n=7]; No annotation provided [n=6]; YopX superfamily protein [n=4]; putative sensor protein [n=3]; YopX [n=3]; ORF044 [n=3]; possible sensor protein [n=3]; ORF041 [n=2]; YopX superfamily phage related protein [n=2]; yopX family protein [n=2]; putative YopX protein [n=2]; YpoX protein I [n=2]; YpoX protein II [n=2]; gp11 [n=1]; gp52 [n=1]; DNA replication [n=1]; gp117 [n=1]; phage protein [n=1]; ORF085 [n=1]; ORF035 [n=1]; hypothetical phage protein [n=1]; sensor protein [n=1]; gp118 [n=1]; gp34 [n=1]; ORF027 [n=1]; YopX protein I [n=1]; ORF046 [n=1]; gp251 [n=1]; gp50 [n=1]; YopX family protein [n=1]; unknown [n=1]; prophage Lp1 protein 30 [n=1]; YopX-like domain containing protein [n=1]; ORF029 [n=1]; putative yopX protein [n=1]; ORF048 [n=1]; conserved hypothetical protein [n=1]; 77ORF036 [n=1]; "	"Mapped to: POG0044"	NA
"34"	"VOG0045"	"Bacteria"	74	69	3	4	"hypothetical protein [n=43]; DUF2829 domain-containing protein [n=3]; DUF2829 domain containing protein [n=3]; No annotation provided [n=2]; gp49 [n=1]; gp34.65 [n=1]; gp64 [n=1]; gp59 [n=1]; phage related protein gp64 [n=1]; phage related protein [n=1]; gp169 [n=1]; tRNA (cytosine34-2-O-)-methyltransferase [n=1]; "	"Mapped to: POG0045"	NA
"35"	"VOG0046"	"Bacteria"	22	22	2	3	"superinfection exclusion protein [n=9]; hypothetical protein [n=7]; putative superinfection exclusion protein [n=3]; Gp17 [n=1]; putative major tail shaft protein [n=1]; Superinfection exclusion protein [n=1]; "	"Mapped to: POG0046"	"tail protein"
"36"	"VOG0047"	"Bacteria"	13	11	2	1	"hypothetical protein [n=11]; gp34.55 [n=1]; "	"Mapped to: POG0047"	NA
"37"	"VOG0048"	"Bacteria+Archaea"	21	21	2	3	"hypothetical protein [n=11]; tailspike [n=2]; putative pectin lyase-like protein [n=2]; gp19.1 [n=1]; putative tail spike protein [n=1]; tower [n=1]; tail fiber [n=1]; putative Pectin lyase-like protein [n=1]; tailspike protein [n=1]; "	"Mapped to: POG0048"	"tail protein"
"38"	"VOG0049"	"Bacteria+Archaea"	70	70	3	6	"RtcB [n=13]; hypothetical protein [n=11]; tRNA-splicing ligase [n=8]; putative RtcB-like protein [n=7]; rtcB protein [n=3]; gp84 [n=2]; hedgehog/intein domain containing protein [n=2]; gp85 [n=2]; putative RtcB protein [n=2]; tRNA processing protein [n=1]; gp88 [n=1]; tRNA splicing ligase [n=1]; gp82 [n=1]; RctB RNA ligase [n=1]; gp160 [n=1]; RNA ligase [n=1]; gp52 [n=1]; RtcB-like protein [n=1]; gp115 [n=1]; similar to RTCB protein [n=1]; uncharacterized protein family UPF0027 [n=1]; RTCB-like protein [n=1]; gp76 [n=1]; gp77 [n=1]; No annotation provided [n=1]; gp134 [n=1]; gp109 [n=1]; "	"Mapped to: POG0049"	NA
"39"	"VOG0050"	"Bacteria"	333	327	3	10	"dCMP deaminase [n=82]; deoxycytidylate deaminase [n=65]; hypothetical protein [n=30]; cytidine deaminase [n=19]; putative dCMP deaminase [n=17]; putative deoxycytidylate deaminase [n=11]; gp35 [n=10]; Cd dCMP deaminase [n=10]; tRNA-specific adenosine deaminase [n=8]; No annotation provided [n=8]; gp36 [n=5]; deaminase [n=5]; gp41 [n=4]; putative CMP/dCMP deaminase, zinc-binding [n=3]; gp40 [n=3]; gp32 [n=3]; gp33 [n=3]; putative deaminase [n=2]; gp38 [n=2]; cytidine and deoxycytidylate deaminase zinc-binding region family protein [n=2]; nucleoside deaminase [n=2]; deoxycytidylate deaminase [Escherichia phage wV7] [n=2]; CMP/dCMP deaminase [n=2]; gp37 [n=2]; riboflavin biosynthesis protein [n=2]; Cd allosteric enzyme [n=2]; gp20 [n=2]; Putative dCMP deaminase [n=1]; hypothetical protein ORF049 [n=1]; ORF260 [n=1]; putative deoxycitidylate deaminase [n=1]; cytidine and deoxycytidylate deaminase zinc-binding region [n=1]; putative CMP/dCMP deaminase [n=1]; CMP/dCMP deaminase, zinc-binding [n=1]; pyrimidine deaminase [n=1]; gp077 [n=1]; CMP deaminase [n=1]; putative cytidine deaminase [n=1]; DCMP deaminase [n=1]; gp21.8 [n=1]; zinc-binding CMP/dCMP deaminase [n=1]; gp34 [n=1]; gp075 [n=1]; gp317 [n=1]; competence protein [n=1]; gp31 [n=1]; gp36.1 [n=1]; hypothetical protein ORF065 [n=1]; zinc binding CMP, dCMP deaminase [n=1]; CDP/dCDP deaminase,zinc-binding [n=1]; deoxycytidylate deaminase domain like protein [n=1]; "	"Mapped to: POG0050"	NA
"40"	"VOG0051"	"Bacteria+Archaea"	169	160	3	7	"terminase large subunit [n=78]; terminase [n=13]; hypothetical protein [n=13]; putative terminase large subunit [n=9]; large terminase subunit [n=6]; putative large terminase [n=5]; No annotation provided [n=3]; putative large terminase subunit [n=3]; DNA packaging protein [n=3]; terminase large subunit A [n=3]; Ter [n=2]; putative terminase, large subunit [n=2]; putative terminase large subunit II [n=2]; packaging terminase large subunit gpA [n=1]; bacteriophage terminase, large subunit [n=1]; large terminase [n=1]; putative terminase [n=1]; ORF036 [n=1]; terminus large subunit [n=1]; gp2.11 [n=1]; terminase large subunit TerL [n=1]; TerL [n=1]; terminase large subunit gpA [n=1]; bacteriophage DNA packaging protein; terminase, large subunit [n=1]; phage terminase large subunit [n=1]; gp3 [n=1]; gp74 [n=1]; gp2 [n=1]; ORF22 [n=1]; gp02 protein [n=1]; Putative large subunit (GpA homolog) of DNA packaging dimer [n=1]; DNA packaging protein; large terminase subunit; Lambda gpA homolog [n=1]; gp5 [n=1]; putative phage terminase large subunit [n=1]; phage terminase large subunit GpA putative structural protein [n=1]; terminase large subunit-like protein [n=1]; phage terminase [n=1]; gp63 [n=1]; ORF059 [n=1]; "	"Union of: POG0051; POG4236"	"terminase"
"41"	"VOG0052"	"Bacteria"	106	88	3	3	"RNA polymerase sigma factor [n=33]; putative RNA polymerase sigma factor [n=7]; hypothetical protein [n=4]; putative RNA polymerase sigma factor SigF 1 [n=3]; RNA polymerase sigma-70 factor, sigma-B/F/G subfamily [n=3]; RNA polymerase sigma-70 factor [n=3]; putative sporulation sigma factor [n=3]; putative RNA polymerase sigma factor G [n=3]; putative RNA polymerase sigma 28 subunit SigF [n=3]; putative RNA polymerase sigma factor SigF 2 [n=3]; SigF-like RNA polymerase sigma factor [n=2]; RNA polymerase sigma-70 factor sigma-B/F/G subfamily [n=2]; subfamily RNA polymerase sigma-70 subunit [n=2]; putative sigma factor [n=2]; RNA polymerase sigma factor, putative [n=2]; putative RNA polymerase sigma 28 subunit SigG [n=2]; putative RNA polymerase sigma subunit [n=2]; gp1 [n=1]; putative RNA polymerase sigma-70 factor [n=1]; sigma70, RNA polymerase sigma factor [n=1]; sporulation sigma factor SigF-like protein [n=1]; gp69 [n=1]; group 2 RNA polymerase sigma factor [n=1]; RNA polymerase sigma-F factor [n=1]; RNA Polymerase sigma-E factor [n=1]; type III RNAP sigma factor [n=1]; RNA polymerase sigma factor SigB [n=1]; gp145 [n=1]; No annotation provided [n=1]; sigma factor SigF [n=1]; RNAP sigma factor [n=1]; sigma-70 [n=1]; sigma70 factor [n=1]; sigF-like RNA polymerase [n=1]; RNA polymerase sigma factor RpoD [n=1]; RNA polymerase, SigF-like [n=1]; gp2.21 [n=1]; sigF-like RNA polymerase sigma factor [n=1]; RNA polymerase sigma-70 region 2 [n=1]; putative DNA-directed RNA polymerase specialized sigma subunit [n=1]; putative RNA polymerase sigma-70 factor, sigma-B/F/G subfamily [n=1]; RNA-polymerase sigma-factor [n=1]; group2 RNA polymerase sigma factor [n=1]; "	"Mapped to: POG0052"	NA
"42"	"VOG0054"	"Bacteria"	125	125	3	9	"holin [n=57]; putative holin [n=22]; hypothetical protein [n=8]; ORF031 [n=3]; small integral membrane protein [n=3]; Hol [n=3]; phage holin [n=2]; putative holin protein [n=2]; putative phage holin [n=1]; ORF43 [n=1]; LysA [n=1]; HOL [n=1]; holin1 [n=1]; ORF032 [n=1]; putative holin class II [n=1]; ORF061 [n=1]; ORF176 [n=1]; Holin, phage phi LC3 holin homolog [n=1]; ORF029 [n=1]; HolA [n=1]; enterotoxin type A/P [n=1]; ORF033 [n=1]; holin class II [n=1]; ORF063 [n=1]; ORF037 [n=1]; gp22 [n=1]; holTW [n=1]; ORF028 [n=1]; orf27 [n=1]; ORF026 [n=1]; ORF027 [n=1]; "	"Mapped to: POG0054"	NA
"43"	"VOG0058"	"Bacteria"	271	271	3	10	"P-starvation inducible protein [n=47]; hypothetical protein [n=31]; PhoH-like protein [n=28]; phosphate starvation-inducible protein [n=18]; phosphate-starvation inducible protein [n=16]; PhoH family protein [n=16]; putative PhoH-like protein [n=13]; putative PhoH family protein [n=12]; PhoH [n=10]; phosphate starvation-inducible protein PhoH [n=7]; putative ATPase [n=4]; No annotation provided [n=4]; PhoH-related protein [n=4]; PhoH-like phosphate starvation-inducible protein [n=4]; phosphate starvation inducible protein [n=3]; starvation inducible protein [n=3]; PhoH domain protein [n=3]; phoH-like protein [n=3]; phosphate-induced stress protein [n=2]; phosphate starvation-inducible phoH-like protein [n=2]; PhoH P-starvation inducible protein [n=2]; putative phosphate starvation-inducible protein PhoH/ATPase [n=2]; AAA domain protein [n=2]; putative PhoH-related protein [n=2]; phosphate-starvation-inducible protein PhoH/ATPase [n=1]; putative regulatory protein [n=1]; putative phosphate starvation-inducible protein PhoH [n=1]; PhoH-like phosphate starvation inducible protein [n=1]; putative phosphate starvation-induced phoH-like protein [n=1]; putative phosphate-starvation-inducible protein [n=1]; phosphate starvation-inducible protein PhoH,predicted ATPase [n=1]; putative phosphate-starvation inducible protein [n=1]; PhoH protein [n=1]; PhoH-like protein [Escherichia phage vB_EcoM_FFH2] [n=1]; phosphate starvation-inducible protein PhoH-like protein [n=1]; Phr [n=1]; putative PhoH-like phosphate starvation-inducible protein [n=1]; PhoH family-like protein [n=1]; ORF046 [n=1]; putative cytoplasmic PhoH protein [n=1]; nucleoside triphosphate hydrolase [n=1]; phoH-like phosphate starvation-inducible protein [n=1]; HNH nuclease [n=1]; putative phosphate starvation-induced protein [n=1]; phoH [n=1]; gp2.62 [n=1]; Phi92_gp060 [n=1]; putative phosphate starvation inducible protein [n=1]; P-Starvation inducible protein [n=1]; PhoH phosphate starvation-inducible protein [n=1]; gp162 [n=1]; phosphate starvation-inducible PhoH-like protein [n=1]; PhoH domain containing protein [n=1]; phoh family protein [n=1]; "	"Union of: POG0058; POG1011"	NA
"44"	"VOG0061"	"Bacteria"	84	84	1	2	"major capsid protein [n=25]; putative major capsid protein [n=11]; major capsid protein precursor [n=10]; capsid protein [n=8]; putative capsid protein [n=7]; hypothetical protein [n=5]; major capsid precursor [n=3]; putative major capsid precursor [n=2]; putative major structural protein [n=2]; major structural protein [n=2]; Mcp [n=1]; Cps [n=1]; No annotation provided [n=1]; capsid protein precursor [n=1]; ORF016 [n=1]; gp88 [n=1]; gp6.1 [n=1]; gp15 [n=1]; major head protein [n=1]; "	"Union of: POG0061; POG0062"	"capsid"
"45"	"VOG0064"	"Bacteria"	77	77	1	2	"hypothetical protein [n=65]; putative structural protein [n=5]; gp6.3 [n=1]; gp17 [n=1]; ORF032 [n=1]; gp90 [n=1]; No annotation provided [n=1]; gp19 [n=1]; gp88 [n=1]; "	"Mapped to: POG0064"	NA
"46"	"VOG0065"	"Bacteria"	96	96	1	2	"hypothetical protein [n=77]; capsid protein [n=4]; ORF034 [n=2]; putative structural protein [n=2]; No annotation provided [n=2]; structural protein [n=1]; gp6.4 [n=1]; gp89 [n=1]; conserved phage protein [n=1]; Zn ribbon [n=1]; gp91 [n=1]; virion component [n=1]; gp20 [n=1]; gp18 [n=1]; "	"Mapped to: POG0065"	NA
"47"	"VOG0066"	"Bacteria"	79	79	1	2	"hypothetical protein [n=69]; No annotation provided [n=4]; gp21 [n=1]; gp92 [n=1]; gp8.1 [n=1]; ORF185 [n=1]; gp94 [n=1]; gp23 [n=1]; "	"Mapped to: POG0066"	NA
"48"	"VOG0067"	"Bacteria"	126	126	2	3	"tail sheath protein [n=38]; hypothetical protein [n=17]; putative tail sheath protein [n=15]; major tail sheath protein [n=5]; putative major tail sheath protein [n=4]; tail sheath [n=4]; major tail sheath [n=4]; Tsp [n=3]; gp126 [n=3]; gp122 [n=3]; gp127 [n=2]; gp123 [n=2]; gp120 [n=2]; tail sheath protein precursor [n=2]; gp125 [n=2]; putative structural phage tail sheath protein [n=2]; putative phage tail sheath protein [n=1]; putative tail protein [n=1]; gp130 [n=1]; gp9.1 [n=1]; gp22 [n=1]; gp128 [n=1]; gp124 [n=1]; tail sheath-like protein [n=1]; gp95 [n=1]; No annotation provided [n=1]; gp178 [n=1]; gp129 [n=1]; gp132 [n=1]; ORF011 [n=1]; gp131 [n=1]; gp115 [n=1]; Tsh [n=1]; "	"Mapped to: POG0067"	"tail protein"
"49"	"VOG0068"	"Bacteria"	83	83	1	2	"hypothetical protein [n=31]; tail tube subunit [n=8]; structural protein [n=6]; putative structural protein [n=6]; putative tail protein [n=5]; TmpA [n=4]; portal protein [n=3]; tail tube [n=3]; tail tube protein [n=3]; capsid protein [n=3]; putative tail tube protein [n=2]; ORF106 [n=1]; gp96 [n=1]; tail protein [n=1]; gp25 [n=1]; No annotation provided [n=1]; gp23 [n=1]; gp94 [n=1]; truncated capsid protein [n=1]; gp10.1 [n=1]; "	"Mapped to: POG0068"	"portal"
"50"	"VOG0069"	"Bacteria"	81	80	1	2	"hypothetical protein [n=65]; tail assembly chaperone [n=7]; gp26 [n=1]; putative tapemeasure chaperone protein [n=1]; No annotation provided [n=1]; gp27 [n=1]; gp95 [n=1]; gp97 [n=1]; ORF229 [n=1]; putative tape measure chaperone protein [n=1]; "	"Mapped to: POG0069"	"tail protein"
"51"	"VOG0079"	"Bacteria"	63	63	2	2	"hypothetical protein [n=36]; structural protein [n=8]; putative structural protein [n=7]; baseplate protein [n=4]; ORF073 [n=1]; BmpC [n=1]; gp16.1 [n=1]; putative spore cortex-lytic hydrolase [n=1]; No annotation provided [n=1]; gp105 [n=1]; gp107 [n=1]; gp36 [n=1]; "	"Mapped to: POG0079"	NA
